step,       1, dt,   0.00000, cte,   0.75980, steer angle,   0.00000, steer setpt,  -9.27071, steer cmd,  -0.21137, 
step,       2, dt,   0.01181, cte,   0.75980, steer angle,   0.00000, steer setpt,  -9.57315, steer cmd,  -0.32952, 
step,       3, dt,   0.31347, cte,   0.75980, steer angle,   0.00000, steer setpt,  -9.88053, steer cmd,  -0.47180, 
step,       4, dt,   0.01208, cte,   0.75930, steer angle,  -7.80160, steer setpt, -10.18677, steer cmd,  -0.44053, 
step,       5, dt,   0.01212, cte,   0.75860, steer angle, -11.35860, steer setpt, -10.49532, steer cmd,  -0.41683, 
step,       6, dt,   0.01074, cte,   0.75860, steer angle, -11.35860, steer setpt,  -1.54637, steer cmd,  -0.20768, 
step,       7, dt,   0.01382, cte,   0.75760, steer angle,  -9.98430, steer setpt,  -1.55845, steer cmd,  -0.11964, 
step,       8, dt,   0.01141, cte,   0.75760, steer angle,  -9.98430, steer setpt,  -1.58233, steer cmd,   0.00251, 
step,       9, dt,   0.01315, cte,   0.75730, steer angle,  -2.55470, steer setpt,  -1.60863, steer cmd,  -0.04812, 
step,      10, dt,   0.01311, cte,   0.75720, steer angle,   0.49910, steer setpt,  -1.63987, steer cmd,  -0.08862, 
step,      11, dt,   0.01254, cte,   0.75720, steer angle,   0.49910, steer setpt,  -1.66402, steer cmd,  -0.11276, 
step,      12, dt,   0.31372, cte,   0.75690, steer angle,  -1.77930, steer setpt,  -1.69671, steer cmd,  -0.09222, 
step,      13, dt,   0.31019, cte,   0.74760, steer angle,  -2.38270, steer setpt,  -1.60765, steer cmd,  -0.08020, 
step,      14, dt,   0.01147, cte,   0.72900, steer angle,  -1.86920, steer setpt,  -1.40506, steer cmd,  -0.07781, 
step,      15, dt,   0.01234, cte,   0.72730, steer angle,  -1.56870, steer setpt,  -1.39890, steer cmd,  -0.07724, 
step,      16, dt,   0.01140, cte,   0.72730, steer angle,  -1.56870, steer setpt,  -1.41143, steer cmd,  -0.07447, 
step,      17, dt,   0.01323, cte,   0.72540, steer angle,  -1.49480, steer setpt,  -1.40425, steer cmd,  -0.07373, 
step,      18, dt,   0.01362, cte,   0.72360, steer angle,  -1.42550, steer setpt,  -1.50727, steer cmd,  -0.07623, 
step,      19, dt,   0.01409, cte,   0.72360, steer angle,  -1.42550, steer setpt,  -1.74851, steer cmd,  -0.08251, 
step,      20, dt,   0.01371, cte,   0.72160, steer angle,  -1.46940, steer setpt,  -1.76638, steer cmd,  -0.08597, 
step,      21, dt,   0.01213, cte,   0.71960, steer angle,  -1.62640, steer setpt,  -1.76336, steer cmd,  -0.08660, 
step,      22, dt,   0.01288, cte,   0.71960, steer angle,  -1.62640, steer setpt,  -1.80709, steer cmd,  -0.08989, 
step,      23, dt,   0.01209, cte,   0.71740, steer angle,  -1.72860, steer setpt,  -1.82346, steer cmd,  -0.09041, 
step,      24, dt,   0.01315, cte,   0.71740, steer angle,  -1.72860, steer setpt,  -1.84452, steer cmd,  -0.09242, 
step,      25, dt,   0.01184, cte,   0.71510, steer angle,  -1.82380, steer setpt,  -1.86187, steer cmd,  -0.09225, 
step,      26, dt,   0.31350, cte,   0.71260, steer angle,  -1.87420, steer setpt,  -1.87663, steer cmd,  -0.09215, 
step,      27, dt,   0.01189, cte,   0.65720, steer angle,  -1.86980, steer setpt,  -1.22128, steer cmd,  -0.07742, 
step,      28, dt,   0.01195, cte,   0.65210, steer angle,  -1.86730, steer setpt,  -1.18441, steer cmd,  -0.06886, 
step,      29, dt,   0.01170, cte,   0.64680, steer angle,  -1.49910, steer setpt,  -1.11670, steer cmd,  -0.06609, 
step,      30, dt,   0.01212, cte,   0.64680, steer angle,  -1.49910, steer setpt,  -1.13918, steer cmd,  -0.06051, 
step,      31, dt,   0.01306, cte,   0.64150, steer angle,  -1.21580, steer setpt,  -1.09990, steer cmd,  -0.06091, 
step,      32, dt,   0.01393, cte,   0.64150, steer angle,  -1.21580, steer setpt,  -1.76918, steer cmd,  -0.07399, 
step,      33, dt,   0.01226, cte,   0.63610, steer angle,  -1.08640, steer setpt,  -1.78042, steer cmd,  -0.08358, 
step,      34, dt,   0.01178, cte,   0.63050, steer angle,  -1.41340, steer setpt,  -1.79144, steer cmd,  -0.08592, 
step,      35, dt,   0.01182, cte,   0.63050, steer angle,  -1.41340, steer setpt,  -1.80590, steer cmd,  -0.09231, 
step,      36, dt,   0.01380, cte,   0.62470, steer angle,  -1.71170, steer setpt,  -1.81415, steer cmd,  -0.09124, 
step,      37, dt,   0.01318, cte,   0.61850, steer angle,  -1.87150, steer setpt,  -1.75255, steer cmd,  -0.08829, 
step,      38, dt,   0.01352, cte,   0.61850, steer angle,  -1.87150, steer setpt,  -1.82991, steer cmd,  -0.08885, 
step,      39, dt,   0.01231, cte,   0.61230, steer angle,  -1.77090, steer setpt,  -1.83606, steer cmd,  -0.09052, 
step,      40, dt,   0.01333, cte,   0.60560, steer angle,  -1.78490, steer setpt,  -1.76742, steer cmd,  -0.08933, 
step,      41, dt,   0.01437, cte,   0.60560, steer angle,  -1.78490, steer setpt,  -1.84852, steer cmd,  -0.09111, 
step,      42, dt,   0.01310, cte,   0.59910, steer angle,  -1.79690, steer setpt,  -1.85734, steer cmd,  -0.09176, 
step,      43, dt,   0.01364, cte,   0.59290, steer angle,  -1.84150, steer setpt,  -1.79392, steer cmd,  -0.09017, 
step,      44, dt,   0.01140, cte,   0.59290, steer angle,  -1.84150, steer setpt,  -1.87921, steer cmd,  -0.09167, 
step,      45, dt,   0.01300, cte,   0.58760, steer angle,  -1.81780, steer setpt,  -1.90823, steer cmd,  -0.09322, 
step,      46, dt,   0.01276, cte,   0.58760, steer angle,  -1.81780, steer setpt,  -1.92060, steer cmd,  -0.09467, 
step,      47, dt,   0.01259, cte,   0.58360, steer angle,  -1.89420, steer setpt,  -1.96336, steer cmd,  -0.09534, 
step,      48, dt,   0.01282, cte,   0.58140, steer angle,  -1.93050, steer setpt,  -2.02529, steer cmd,  -0.09698, 
step,      49, dt,   0.01284, cte,   0.58140, steer angle,  -1.93050, steer setpt,  -2.03991, steer cmd,  -0.09860, 
step,      50, dt,   0.01216, cte,   0.58190, steer angle,  -1.98810, steer setpt,  -2.12523, steer cmd,  -0.10076, 
step,      51, dt,   0.01256, cte,   0.57270, steer angle,  -2.02870, steer setpt,  -2.02975, steer cmd,  -0.09954, 
step,      52, dt,   0.01391, cte,   0.57270, steer angle,  -2.02870, steer setpt,  -2.09164, steer cmd,  -0.10126, 
step,      53, dt,   0.01310, cte,   0.56570, steer angle,  -2.05210, steer setpt,  -2.04765, steer cmd,  -0.10049, 
step,      54, dt,   0.01505, cte,   0.55980, steer angle,  -2.09530, steer setpt,  -1.98826, steer cmd,  -0.09823, 
step,      55, dt,   0.01286, cte,   0.55980, steer angle,  -2.09530, steer setpt,  -1.99230, steer cmd,  -0.09703, 
step,      56, dt,   0.01315, cte,   0.55450, steer angle,  -2.01950, steer setpt,  -2.04969, steer cmd,  -0.09859, 
step,      57, dt,   0.01291, cte,   0.54990, steer angle,  -1.98940, steer setpt,  -2.00477, steer cmd,  -0.09839, 
step,      58, dt,   0.01365, cte,   0.54990, steer angle,  -1.98940, steer setpt,  -2.09945, steer cmd,  -0.10080, 
step,      59, dt,   0.01369, cte,   0.54560, steer angle,  -2.02350, steer setpt,  -2.13087, steer cmd,  -0.10210, 
step,      60, dt,   0.01292, cte,   0.54160, steer angle,  -2.08370, steer setpt,  -2.09450, steer cmd,  -0.10142, 
step,      61, dt,   0.01247, cte,   0.54160, steer angle,  -2.08370, steer setpt,  -2.16991, steer cmd,  -0.10351, 
step,      62, dt,   0.01327, cte,   0.53770, steer angle,  -2.09930, steer setpt,  -2.19119, steer cmd,  -0.10470, 
step,      63, dt,   0.01367, cte,   0.53380, steer angle,  -2.15140, steer setpt,  -2.15654, steer cmd,  -0.10401, 
step,      64, dt,   0.31291, cte,   0.53380, steer angle,  -2.15140, steer setpt,  -2.22031, steer cmd,  -0.10573, 
step,      65, dt,   0.01036, cte,   0.42850, steer angle,  -2.16390, steer setpt,  -0.99721, steer cmd,  -0.07840, 
step,      66, dt,   0.01312, cte,   0.42850, steer angle,  -2.16390, steer setpt,  -0.96972, steer cmd,  -0.06392, 
step,      67, dt,   0.31318, cte,   0.41860, steer angle,  -1.52360, steer setpt,  -0.86828, steer cmd,  -0.05931, 
step,      68, dt,   0.01113, cte,   0.21940, steer angle,  -1.16170, steer setpt,   1.54603, steer cmd,  -0.00202, 
step,      69, dt,   0.01173, cte,   0.21940, steer angle,  -1.16170, steer setpt,   1.65589, steer cmd,   0.03442, 
step,      70, dt,   0.01109, cte,   0.20430, steer angle,   0.38580, steer setpt,   0.66723, steer cmd,   0.01636, 
step,      71, dt,   0.01273, cte,   0.20430, steer angle,   0.38580, steer setpt,   0.74530, steer cmd,   0.02772, 
step,      72, dt,   0.01163, cte,   0.18920, steer angle,   0.84530, steer setpt,   0.88827, steer cmd,   0.02543, 
step,      73, dt,   0.01377, cte,   0.17440, steer angle,   1.12920, steer setpt,  -1.27864, steer cmd,  -0.02914, 
step,      74, dt,   0.31263, cte,   0.17440, steer angle,   1.12920, steer setpt,  -1.26748, steer cmd,  -0.05769, 
step,      75, dt,   0.01105, cte,  -0.09410, steer angle,  -0.29220, steer setpt,   1.83583, steer cmd,   0.01142, 
step,      76, dt,   0.01351, cte,  -0.11300, steer angle,  -1.00580, steer setpt,   2.17904, steer cmd,   0.05578, 
step,      77, dt,   0.01134, cte,  -0.11300, steer angle,  -1.00580, steer setpt,   2.11687, steer cmd,   0.09726, 
step,      78, dt,   0.01351, cte,  -0.13160, steer angle,   1.83080, steer setpt,   2.28137, steer cmd,   0.08082, 
