,,,dt,,CTE,,angle,,,,,
step,1, dt,0, cte,0.7598, steer angle,0, steer setpt,-9.27071, steer cmd,-0.21137, 
step,2, dt,0.01181, cte,0.7598, steer angle,0, steer setpt,-9.57315, steer cmd,-0.32952, 
step,3, dt,0.31347, cte,0.7598, steer angle,0, steer setpt,-9.88053, steer cmd,-0.4718, 
step,4, dt,0.01208, cte,0.7593, steer angle,-7.8016, steer setpt,-10.18677, steer cmd,-0.44053, 
step,5, dt,0.01212, cte,0.7586, steer angle,-11.3586, steer setpt,-10.49532, steer cmd,-0.41683, 
step,6, dt,0.01074, cte,0.7586, steer angle,-11.3586, steer setpt,-1.54637, steer cmd,-0.20768, 
step,7, dt,0.01382, cte,0.7576, steer angle,-9.9843, steer setpt,-1.55845, steer cmd,-0.11964, 
step,8, dt,0.01141, cte,0.7576, steer angle,-9.9843, steer setpt,-1.58233, steer cmd,0.00251, 
step,9, dt,0.01315, cte,0.7573, steer angle,-2.5547, steer setpt,-1.60863, steer cmd,-0.04812, 
step,10, dt,0.01311, cte,0.7572, steer angle,0.4991, steer setpt,-1.63987, steer cmd,-0.08862, 
step,11, dt,0.01254, cte,0.7572, steer angle,0.4991, steer setpt,-1.66402, steer cmd,-0.11276, 
step,12, dt,0.31372, cte,0.7569, steer angle,-1.7793, steer setpt,-1.69671, steer cmd,-0.09222, 
step,13, dt,0.31019, cte,0.7476, steer angle,-2.3827, steer setpt,-1.60765, steer cmd,-0.0802, 
step,14, dt,0.01147, cte,0.729, steer angle,-1.8692, steer setpt,-1.40506, steer cmd,-0.07781, 
step,15, dt,0.01234, cte,0.7273, steer angle,-1.5687, steer setpt,-1.3989, steer cmd,-0.07724, 
step,16, dt,0.0114, cte,0.7273, steer angle,-1.5687, steer setpt,-1.41143, steer cmd,-0.07447, 
step,17, dt,0.01323, cte,0.7254, steer angle,-1.4948, steer setpt,-1.40425, steer cmd,-0.07373, 
step,18, dt,0.01362, cte,0.7236, steer angle,-1.4255, steer setpt,-1.50727, steer cmd,-0.07623, 
step,19, dt,0.01409, cte,0.7236, steer angle,-1.4255, steer setpt,-1.74851, steer cmd,-0.08251, 
step,20, dt,0.01371, cte,0.7216, steer angle,-1.4694, steer setpt,-1.76638, steer cmd,-0.08597, 
step,21, dt,0.01213, cte,0.7196, steer angle,-1.6264, steer setpt,-1.76336, steer cmd,-0.0866, 
step,22, dt,0.01288, cte,0.7196, steer angle,-1.6264, steer setpt,-1.80709, steer cmd,-0.08989, 
step,23, dt,0.01209, cte,0.7174, steer angle,-1.7286, steer setpt,-1.82346, steer cmd,-0.09041, 
step,24, dt,0.01315, cte,0.7174, steer angle,-1.7286, steer setpt,-1.84452, steer cmd,-0.09242, 
step,25, dt,0.01184, cte,0.7151, steer angle,-1.8238, steer setpt,-1.86187, steer cmd,-0.09225, 
step,26, dt,0.3135, cte,0.7126, steer angle,-1.8742, steer setpt,-1.87663, steer cmd,-0.09215, 
step,27, dt,0.01189, cte,0.6572, steer angle,-1.8698, steer setpt,-1.22128, steer cmd,-0.07742, 
step,28, dt,0.01195, cte,0.6521, steer angle,-1.8673, steer setpt,-1.18441, steer cmd,-0.06886, 
step,29, dt,0.0117, cte,0.6468, steer angle,-1.4991, steer setpt,-1.1167, steer cmd,-0.06609, 
step,30, dt,0.01212, cte,0.6468, steer angle,-1.4991, steer setpt,-1.13918, steer cmd,-0.06051, 
step,31, dt,0.01306, cte,0.6415, steer angle,-1.2158, steer setpt,-1.0999, steer cmd,-0.06091, 
step,32, dt,0.01393, cte,0.6415, steer angle,-1.2158, steer setpt,-1.76918, steer cmd,-0.07399, 
step,33, dt,0.01226, cte,0.6361, steer angle,-1.0864, steer setpt,-1.78042, steer cmd,-0.08358, 
step,34, dt,0.01178, cte,0.6305, steer angle,-1.4134, steer setpt,-1.79144, steer cmd,-0.08592, 
step,35, dt,0.01182, cte,0.6305, steer angle,-1.4134, steer setpt,-1.8059, steer cmd,-0.09231, 
step,36, dt,0.0138, cte,0.6247, steer angle,-1.7117, steer setpt,-1.81415, steer cmd,-0.09124, 
step,37, dt,0.01318, cte,0.6185, steer angle,-1.8715, steer setpt,-1.75255, steer cmd,-0.08829, 
step,38, dt,0.01352, cte,0.6185, steer angle,-1.8715, steer setpt,-1.82991, steer cmd,-0.08885, 
step,39, dt,0.01231, cte,0.6123, steer angle,-1.7709, steer setpt,-1.83606, steer cmd,-0.09052, 
step,40, dt,0.01333, cte,0.6056, steer angle,-1.7849, steer setpt,-1.76742, steer cmd,-0.08933, 
step,41, dt,0.01437, cte,0.6056, steer angle,-1.7849, steer setpt,-1.84852, steer cmd,-0.09111, 
step,42, dt,0.0131, cte,0.5991, steer angle,-1.7969, steer setpt,-1.85734, steer cmd,-0.09176, 
step,43, dt,0.01364, cte,0.5929, steer angle,-1.8415, steer setpt,-1.79392, steer cmd,-0.09017, 
step,44, dt,0.0114, cte,0.5929, steer angle,-1.8415, steer setpt,-1.87921, steer cmd,-0.09167, 
step,45, dt,0.013, cte,0.5876, steer angle,-1.8178, steer setpt,-1.90823, steer cmd,-0.09322, 
step,46, dt,0.01276, cte,0.5876, steer angle,-1.8178, steer setpt,-1.9206, steer cmd,-0.09467, 
step,47, dt,0.01259, cte,0.5836, steer angle,-1.8942, steer setpt,-1.96336, steer cmd,-0.09534, 
step,48, dt,0.01282, cte,0.5814, steer angle,-1.9305, steer setpt,-2.02529, steer cmd,-0.09698, 
step,49, dt,0.01284, cte,0.5814, steer angle,-1.9305, steer setpt,-2.03991, steer cmd,-0.0986, 
step,50, dt,0.01216, cte,0.5819, steer angle,-1.9881, steer setpt,-2.12523, steer cmd,-0.10076, 
step,51, dt,0.01256, cte,0.5727, steer angle,-2.0287, steer setpt,-2.02975, steer cmd,-0.09954, 
step,52, dt,0.01391, cte,0.5727, steer angle,-2.0287, steer setpt,-2.09164, steer cmd,-0.10126, 
step,53, dt,0.0131, cte,0.5657, steer angle,-2.0521, steer setpt,-2.04765, steer cmd,-0.10049, 
step,54, dt,0.01505, cte,0.5598, steer angle,-2.0953, steer setpt,-1.98826, steer cmd,-0.09823, 
step,55, dt,0.01286, cte,0.5598, steer angle,-2.0953, steer setpt,-1.9923, steer cmd,-0.09703, 
step,56, dt,0.01315, cte,0.5545, steer angle,-2.0195, steer setpt,-2.04969, steer cmd,-0.09859, 
step,57, dt,0.01291, cte,0.5499, steer angle,-1.9894, steer setpt,-2.00477, steer cmd,-0.09839, 
step,58, dt,0.01365, cte,0.5499, steer angle,-1.9894, steer setpt,-2.09945, steer cmd,-0.1008, 
step,59, dt,0.01369, cte,0.5456, steer angle,-2.0235, steer setpt,-2.13087, steer cmd,-0.1021, 
step,60, dt,0.01292, cte,0.5416, steer angle,-2.0837, steer setpt,-2.0945, steer cmd,-0.10142, 
step,61, dt,0.01247, cte,0.5416, steer angle,-2.0837, steer setpt,-2.16991, steer cmd,-0.10351, 
step,62, dt,0.01327, cte,0.5377, steer angle,-2.0993, steer setpt,-2.19119, steer cmd,-0.1047, 
step,63, dt,0.01367, cte,0.5338, steer angle,-2.1514, steer setpt,-2.15654, steer cmd,-0.10401, 
step,64, dt,0.31291, cte,0.5338, steer angle,-2.1514, steer setpt,-2.22031, steer cmd,-0.10573, 
step,65, dt,0.01036, cte,0.4285, steer angle,-2.1639, steer setpt,-0.99721, steer cmd,-0.0784, 
step,66, dt,0.01312, cte,0.4285, steer angle,-2.1639, steer setpt,-0.96972, steer cmd,-0.06392, 
step,67, dt,0.31318, cte,0.4186, steer angle,-1.5236, steer setpt,-0.86828, steer cmd,-0.05931, 
step,68, dt,0.01113, cte,0.2194, steer angle,-1.1617, steer setpt,1.54603, steer cmd,-0.00202, 
step,69, dt,0.01173, cte,0.2194, steer angle,-1.1617, steer setpt,1.65589, steer cmd,0.03442, 
step,70, dt,0.01109, cte,0.2043, steer angle,0.3858, steer setpt,0.66723, steer cmd,0.01636, 
step,71, dt,0.01273, cte,0.2043, steer angle,0.3858, steer setpt,0.7453, steer cmd,0.02772, 
step,72, dt,0.01163, cte,0.1892, steer angle,0.8453, steer setpt,0.88827, steer cmd,0.02543, 
step,73, dt,0.01377, cte,0.1744, steer angle,1.1292, steer setpt,-1.27864, steer cmd,-0.02914, 
step,74, dt,0.31263, cte,0.1744, steer angle,1.1292, steer setpt,-1.26748, steer cmd,-0.05769, 
step,75, dt,0.01105, cte,-0.0941, steer angle,-0.2922, steer setpt,1.83583, steer cmd,0.01142, 
step,76, dt,0.01351, cte,-0.113, steer angle,-1.0058, steer setpt,2.17904, steer cmd,0.05578, 
step,77, dt,0.01134, cte,-0.113, steer angle,-1.0058, steer setpt,2.11687, steer cmd,0.09726, 
step,78, dt,0.01351, cte,-0.1316, steer angle,1.8308, steer setpt,2.28137, steer cmd,0.08082, 
step,79, dt,0.31449, cte,-0.1316, steer angle,1.8308, steer setpt,2.40298, steer cmd,0.09587, 
step,80, dt,0.01176, cte,-0.3444, steer angle,2.4568, steer setpt,1.84696, steer cmd,0.07677, 
step,81, dt,0.01243, cte,-0.3515, steer angle,2.833, steer setpt,1.80642, steer cmd,0.06121, 
step,82, dt,0.01142, cte,-0.3515, steer angle,2.833, steer setpt,1.90679, steer cmd,0.04984, 
step,83, dt,0.01456, cte,-0.3577, steer angle,1.9666, steer setpt,1.85741, steer cmd,0.0551, 
step,84, dt,0.01315, cte,-0.3633, steer angle,1.6823, steer setpt,2.02428, steer cmd,0.06203, 
step,85, dt,0.01327, cte,-0.3633, steer angle,1.6823, steer setpt,-0.46996, steer cmd,0.00903, 
step,86, dt,0.01236, cte,-0.3681, steer angle,1.9872, steer setpt,-0.47897, steer cmd,-0.0232, 
step,87, dt,0.01261, cte,-0.3725, steer angle,0.6621, steer setpt,-0.40702, steer cmd,-0.02568, 
step,88, dt,0.01384, cte,-0.3725, steer angle,0.6621, steer setpt,-0.46255, steer cmd,-0.0452, 
step,89, dt,0.01467, cte,-0.3767, steer angle,-0.2056, steer setpt,-0.46184, steer cmd,-0.04125, 
step,90, dt,0.01185, cte,-0.3808, steer angle,-0.6937, steer setpt,-0.39449, steer cmd,-0.03413, 
step,91, dt,0.01252, cte,-0.3808, steer angle,-0.6937, steer setpt,-0.43401, steer cmd,-0.03201, 
step,92, dt,0.31368, cte,-0.3848, steer angle,-0.417, steer setpt,-0.42164, steer cmd,-0.03426, 
step,93, dt,0.00973, cte,-0.4399, steer angle,-0.3639, steer setpt,0.26784, steer cmd,-0.01923, 
step,94, dt,0.31264, cte,-0.4399, steer angle,-0.3639, steer setpt,0.25578, steer cmd,-0.01194, 
step,95, dt,0.01103, cte,-0.3219, steer angle,-0.0445, steer setpt,-1.19607, steer cmd,-0.0435, 
step,96, dt,0.01238, cte,-0.3219, steer angle,-0.0445, steer setpt,-1.2063, steer cmd,-0.05619, 
step,97, dt,0.01225, cte,-0.3126, steer angle,-0.6511, steer setpt,-1.3792, steer cmd,-0.06277, 
step,98, dt,0.01312, cte,-0.3035, steer angle,-0.9683, steer setpt,-2.17883, steer cmd,-0.08507, 
step,99, dt,0.0142, cte,-0.3035, steer angle,-0.9683, steer setpt,-2.22115, steer cmd,-0.10216, 
step,100, dt,0.01348, cte,-0.2949, steer angle,-1.6903, steer setpt,-0.92952, steer cmd,-0.07395, 
step,101, dt,0.01332, cte,-0.2869, steer angle,-2.1176, steer setpt,-1.02768, steer cmd,-0.06007, 
step,102, dt,0.01184, cte,-0.2869, steer angle,-2.1176, steer setpt,-0.91812, steer cmd,-0.04282, 
